arnold
1028,1004;1436,980
285,447;516,420
87,116;140,125
824,1488;1472,1512
654,495;936,471
556,868;920,860
83,139;146,136
321,298;517,227
250,366;421,366
1041,549;1320,588

brad
113,146;180,139
129,166;200,175
92,94;129,90
402,498;621,513
549,633;816,645
484,912;796,864
338,432;504,402
1056,920;1448,900
272,430;534,424
1808,896;2188,904

george
447,265;565,268
544,496;804,472
276,123;334,125
822,432;1116,442
797,990;1210,990
99,117;159,114
121,119;179,119
198,324;352,322
133,121;193,127
120,180;210,166

johnny
148,210;224,189
496,704;808,732
334,408;496,390
245,173;350,168
222,193;321,195
261,141;329,136
213,351;385,339
315,152;379,147
262,262;348,256
132,255;241,240

justin
184,250;301,247
112,98;190,96
263,149;329,147
369,276;486,271
91,186;178,173
262,154;357,151
904,1248;1464,1280
358,158;457,166
450,339;603,330
216,247;318,247

keanu
546,464;792,476
77,158;135,160
808,1083;1292,1133
1096,1064;1536,1128
1112,848;1428,872
432,200;531,208
405,228;510,237
258,266;356,270
1056,1184;1544,1280
106,147;160,142

patrick
748,973;1243,1001
88,99;140,108
644,632;900,644
1680,2288;2624,2368
381,351;546,360
275,171;359,174
807,435;1044,456
90,118;149,122
127,150;199,149
240,340;396,326

tom
258,211;369,213
142,96;186,98
465,552;711,546
110,139;184,132
272,426;480,424
198,145;264,146
544,916;860,928
228,250;328,256
121,168;190,170
620,688;900,680

angelina
206,222;306,214
633,525;858,528
213,255;405,255
402,334;646,336
272,274;414,276
1076,728;1556,744
294,338;456,336
723,381;894,384
121,101;169,101
1020,732;1374,732

emma
275,132;337,128
430,446;626,428
690,663;927,654
516,688;772,676
946,1039;1331,1028
118,194;189,180
948,366;1116,369
432,369;598,357
598,434;818,386
608,856;956,836

jennifer
508,219;694,234
310,244;429,241
117,146;184,146
277,145;351,140
292,246;405,243
130,100;176,101
1111,852;1485,863
321,423;501,426
263,165;355,159
357,432;537,438

katy
225,216;301,213
1309,2431;2156,2387
321,145;412,144
480,552;714,534
262,414;406,416
731,1336;1237,1309
447,315;582,312
199,203;317,199
340,198;420,194
248,173;342,177

naomi
360,588;564,597
90,123;145,127
792,951;1215,968
1024,1028;1572,1060
858,387;1041,411
759,1254;1193,1292
157,187;244,188
267,183;357,185
338,282;454,280
501,408;681,414









































